auction_date,auction_location,auction_name,auction_url,title,url,currency,low_estimate,high_estimate,realised_price,description,Brand,Reference,Year,Case No.,Diameter,Weight,Caliber,Signature,Movement No.,Bracelet,Model,Buckle,Dimensions,Accessories,Thickness,Material,Height,Width,Length
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"TAG Heuer.  Master-time & Monte-Carlo date, Dashboard classic rally pair",/en/lots/tag-heuer-master-time-monte-carlo-lot-347-11?page=1,EUR,"2,000","4,000","3,380","Two, fine, chromed manual winding dashboard clocks with center-seconds meantime 8-day going clock and a 60-second chronograph race timer with progressive 60-minute register and digital 12-hour register, made between 1958-1967,Case one: circular on a square backplate drilled for mounting, reeded rotating bezel, large winding crown. Black dial with luminous Arabic numerals and baton indexes, outer minute track. Luminous leaf hands. Case two: circular on a square backplate drilled for mounting, reeded rotating bezel, large winding crown for start/stop, button at 2 for reset, button at 11 for advancing the digital 12-hour register. Black dial with luminous Arabic 60-minute numerals for the 60-minute register, outer minute track with fifths of a second divisions, aperture for the 12-hour register. Luminous arrow and baton hands.","TAG Heuer, Switzerland",,1958,Heuer Leonidas S.A Swiss,,"472,29 gr. (approx.)",1666 & 28H Arogno,"Case, dial and movement",,,Master-Time & Monte-Carlo,,118 x 73 mm.,,20 mm.,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Heuer.  Ref. 110.203B, Daytona Steel",/en/lots/heuer-ref-110-203b-daytona-lot-347-12?page=1,EUR,"2,500","4,500","3,380","Fine, tonneau shaped, water resistant, self-winding, stainless steel wristwatch with registers, date, tachometer and a stainless steel Heuer bracelet.","Heuer, Switzerland",110.203B,1977,348612,,127 gr. (approx.),"12, 17 jewels","Case, dial and movement",,stainless steel Heuer bracelet. approx. overall length 175 mm,Daytona,,39 x 43 mm.,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Tudor.  Ref. 7149, Oyster date, so called ""Monte-Carlo"", Stainless-steel",/en/lots/tudor-ref-7149-monte-carlo-lot-347-13?page=1,EUR,"10,000","20,000","16,900","Fine and rare stainless-steel chronograph, manual winding wristwatch with date and registers made. Screwed-down engraved case back, tachymeter graduation on the blue Bakelite bezel at 500 units per hour. Triplock winding crown protected by square crown guard, crystal with cyclops lens. Aperture for the date at 6 o’clock, grey matte dial, blue subsidiary dials for constant seconds and 45-minute register, baton indexes, outer 1/5th seconds scale with 5 minute/second orange Arabic markers. Black baton hands.","Tudor, Geneva",7149,1976,844145,40 mm.,"62,1 gr. (approx.)",234,"Case, dial and movement",,,Monte-Carlo,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Tudor.  Ref. 7928, Oyster-Prince, Submariner, Rotor self-winding, Stainless-steel",/en/lots/tudor-ref-7928-submariner-lot-347-14?page=1,EUR,"5,000","10,000","9,750","Very fine diver’s wristwatch, water-resistant to 200m, screwed case-back, screwed winding crown protected by the rounded crown guards. Bi-directional rotating blue bezel graduated in 60 minutes, black dial with center- seconds. Inner ring printed close to the edge and connecting to minute makers. Mercedes styles hands filled with luminescent material. Very similar to the 5513 style of the Rolex Submariner.","Tudor, Geneva",7928,1964,433998,40 mm.,173 gr. (approx.),Tudor 390,"Case, dial and movement",,,Submariner,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Blancpain.  Bathyscaphe, Technisub, Automatic, Stainless-steel",/en/lots/blancpain-bathyscaphe-lot-347-15?page=1,EUR,"5,000","9,000","10,400","Fine, center-seconds, self-winding, water-resistant, antimagnetic, shock protected, stainless-steel diving wristwatch with date, antimagnetic protection cap. Massive, solid, polished case, black bi-directional revolving bezel. Blue-grey metallic dial with aperture for the date at 3 o’clock, applied luminous baton indexes. Luminous steel leaf hands.","Blancpain, Villeret",,1970,1000124,36 mm.,"57,8 gr. (approx.)",1700/01,"Case, dial and movement",,,Bathyscaphe,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Blancpain.  Fifty Fathoms, Stainless-steel",/en/lots/blancpain-fifty-fathoms-lot-347-16?page=1,EUR,"3,000","6,000","11,440","Fine and rare tonneau shaped stainless steel self-winding diver’s wristwatch with grey dial , day and date. Red hands and center second","Blancpain, Villeret",,1970,208882,44 mm. (approx.),,,Dial and movement,631636,,Fifty Fathoms,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Blancpain.  Fifty Fathoms German Navy, Stainless-steel",/en/lots/blancpain-fifty-fathoms-lot-347-17?page=1,EUR,"8,000","15,000","13,000",Fine and very rare stainless steel self-winding diver’s wristwatch with black dial and date. Made for the German Navy. With his Blancpain Certifcate.,"Blancpain, Villeret",,1970,"135460, Y 1521",43 mm (approx.),,CD 2873 - RAYVILLE,Dial and movement,,,Fifty Fathoms,,,Blancpain Certificate,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. ST 146.011 – 69, Seamaster, Chronograph, Minute and hour counters, Date, So-called ""Bullhead"", Stainless-steel, NOS (New Old Stock)",/en/lots/omega-ref-st-146-011-69-seamaster-so-called-bullhead-lot-347-18?page=1,EUR,"6,000","8,000","7,800","Stainless steel, manual-winding, vertical asymmetric shield-shaped with rounded corners, massive pilot’s wristwatch, water-resistant with screwed case-back, 60-minute graduated revolving black inclined inner bezel for the decompression times (setting by the crown at 6 o’clock), brown colour dial with radial luminous indexes, subsidiary seconds at 6 and four horological complications:• 1/6 second chronograph (activated by the two round-shaped pushpieces located on the top case-band) with orange chronograph hand• Half-instantaneous three-colour 30-minute counter (subsidiary dial at 3 o’clock)• Half-instantaneous date of the month (aperture at 3 o’clock)Two-piece case. Case-back stamped in the centre with the Omega logo, a seahorse and the name “Seamaster”.","Omega, Bienne / Biel",ST 146.011 – 69,1969,,,,"930 (based on Omega 861, based on Lemania 1873)","Case, dial and movement",29 148 130,Black leather “Tropical” strap; stainless steel Omega buckle,“Seamaster” so-called “Bullhead”,,43 x 43.2 mm. / Thickness 15.2 mm.,Omega fitted box,,stainless steel,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. St 145.026, Flightmaster, Chronograph, Minute And Hour Counters, Two-Time Zone, Dark Grey Dial, Stainless-steel",/en/lots/omega-ref-st-145-026-flightmaster-lot-347-19?page=1,EUR,"4,000","6,000","15,600","Stainless steel, manual-winding, vertical “tonneau”-shaped, massive pilot’s wristwatch, water-resistant with screwed case-back, 60-minute graduated bidirectional revolving black inclined inner bezel for the decompression times (setting by the crown at 4 o’clock), dark grey colour dial with radial luminous indexes, subsidiary seconds at 9 and four horological complications:• 1/6 second chronograph (activated by the two round-shaped push-pieces located on the case-band)• Half-instantaneous 30-minute counter (subsidiary dial at 3 o’clock)• 12-hour counter (subsidiary dial at 6 o’clock)• Two-time zone (hour hand independently adjustable by the crown at 10 o’clock)Two-piece case, “Pilot-line”.Case-back stamped in the centre with the Omega logo, a plane and the name “flightmaster”.","Omega, Bienne / Biel",ST 145.026,1971,,,,911,"Case, dial and movement",33 310 891,Brown leather Rodania “Tropical” strap; stainless steel Omega buckle,Flightmaster,,52.6 x 43.1 mm. / Thickness 15.2 mm.,Omega fitted box,,stainless steel,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. Ck 2913, Seamaster 300, Stainless-steel",/en/lots/omega-ref-ck-2913-seamaster-lot-347-20?page=1,EUR,"50,000","80,000","123,500","An exceptional and rare, self-winding, stainless steel diver’s wristwatch.","Omega, Bienne / Biel",CK 2913,1959,,,,"501, 20 Jewels","Dial and movement, case numbered",16460793,Stainless-steel semi-elastic Omega bracelet dated 1959,Seamaster,,,"Original fitted box, extract from the archives",,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. 2915-2, Speedmaster, Broad Arrow, Stainless steel",/en/lots/omega-ref-2915-2-speedmaster-lot-347-21?page=2,EUR,"35,000","55,000","62,400","A very fine, early, important, manual wind stainless steel chronograph wristwatch.","Omega, Bienne / Biel",2915-2,1958,,,"105,3 gr. (approx.)","321, 17 jewels","Case, dial and movement",15996793,,Speedmaster,,48 mm.,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. ST105.012, Speedmaster professional, Chronograph, Stainless-steel",/en/lots/omega-ref-st105-012-speedmaster-lot-347-22?page=2,EUR,"5,000","10,000","12,740","Fine, stainless-steel wristwatch, manual-winding, water-resistant, antimagnetic, center-second chronograph. Polished and brushed case, screwed back engraved with Speedmaster logo, antimagnetic protection cap. Chronograph with round buttons, tachymeter scale on fixed bezel at 500 UPH (service), lyre-shaped lugs. Matte black dial, with luminous baton markers on the outer minute track, subsidiary guilloche dials for the seconds, 12-hour and 30-minute registers. White luminous baton hands.","Omega, Bienne / Biel",ST105.012,1967,105 012-65,41 mm.,"92,1 gr. (approx.)",Omega 321,"Case, dial and movement",2453 0165,Stainless-steel Omega bracelet with folding clasp approx. length 155 mm,Speedmaster,,,Additional links,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. ST 1750032, Speedmaster, Automatic, Chronograph, Stainless-steel",/en/lots/omega-ref-st-1750032-speedmaster-lot-347-23?page=2,EUR,"1,800","2,800","3,380","Fine, stainless-steel wristwatch, manual-winding, water-resistant, center-second chronograph. Polished and brushed case screwed back engraved with Speedmaster logo. Chronograph with round buttons, tachymeter scale on fixed bezel at 500 UPH (service), lyre-shaped lugs. Matte black dial, with luminous baton markers on the outer minute track, subsidiary guilloche dials for the seconds, 12-hour and 30-minute registers. White luminous baton hands.","Omega, Bienne / Biel",ST 1750032,1988,ST1750032,39 mm.,"105,3 gr. (approx.)",Omega 1140 (Base ETA 2890.2),"Case, dial and movement",,"Stainless-steel Omega Bracelet with folding clasp, approx. length 160 mm",Speedmaster,,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. 145.022, Speeedmaster Apollo / Soyuz N°499, Stainless-steel",/en/lots/omega-ref-145-022-speedmaster-apollo-soyuz-lot-347-24?page=2,EUR,"30,000","60,000","52,000","Historical, rare and fine stainless steel manual winding chronograph wristwatch with black dial and 3 registers.","Omega, Bienne / Biel",145.022,1976,499,42 mm.,,,"Case, dial and movement",35580648,stainless steel Omega bracelet 1133 with deployant clasp,Speedmaster Apollo / Soyuz,,,Extract from the archives,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. 145.012-67 SP Speedmaster Professional, Orange Chronograph Hand, Minute And Hour Counters, So-Called “Ultraman”, Stainless-steel",/en/lots/omega-ref-145-012-67-sp-speedmaster-professional-so-called-ultraman-lot-347-25?page=2,EUR,"20,000","30,000","24,700","Stainless steel, manual-winding, vertical “tonneau”-shaped, gentleman’s wristwatch, water-resistant with screwed case-back, movement protected inside a soft iron calotte (protective container) against magnetic fields, bezel with black insert, black colour dial with radial luminous indexes, orange chronograph hand, subsidiary seconds at 9 and three horological complications:• 1/5 second chronograph (activated by the two round-shaped push-pieces located on the case-band), with orange chronograph hand and tachometric scale graduated on the bezel for 500 units per hour• Half-instantaneous 30-minute counter (subsidiary dial at 3 o’clock)• Dragging 12-hour counter (subsidiary dial at 6 o’clock)Case-back stamped in the centre with the Omega logo, a seahorse and the name “Seamaster”.","Omega, Bienne / Biel",145.012 – 67 SP,1968,,,,321 (based on Lemania 2310),"Case, dial and movement",26 078 160,Black leather “tropical” strap; stainless steel Omega buckle,“Speedmaster Professional” so-called “Ultraman”,,47.5 x 41.7 mm. / 39.8 mm. (bezel),Omega later fitted box,,stainless steel,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. ST 145.012 – 67, Speedmaster professional, Chronograph, Minute and hour counters, so-called ""Racing"", Stainless-steel",/en/lots/omega-ref-st-145-012-67-speedmaster-professional-so-called-racing-lot-347-26?page=2,EUR,"20,000","40,000","195,000","Stainless steel, manual-winding, vertical “tonneau”-shaped, gentleman’s wristwatch, water-resistant with screwed case-back, movement protected inside a soft iron calotte (protective container) against magnetic fields, bezel with black insert, black colour dial with radial luminous indexes and red / white “racing” configuration, orange hands, subsidiary seconds at 9 and three horological complications :• 1/5 second chronograph (activated by the two round-shaped pushpieces located on the case-band), with orange chronograph hand and tachometric scale graduated on the bezel for 500 units per hour• Half-instantaneous 30-minute counter (subsidiary dial at 3 o’clock)• Dragging 12-hour counter (subsidiary dial at 6 o’clock)Case-back stamped in the centre with the Omega logo, a seahorse, and the name “Speedmaster”.","Omega, Bienne / Biel",ST 145.012 – 67,1968,,,,321 (based on Lemania 2310),"Case, dial and movement",26 542 063,Black leather “tropical” strap; stainless steel Omega buckle,“Speedmaster Professional” so-called “Racing”,,7.5 x 41.7 mm. / 39.8 mm. (bezel),"Omega “Patrimony” fitted box, Extract from the Archives",,stainless steel,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Ref. St 145.022-69, Speedmaster, Moonwatch, Chronograph, Minute And Hour Counters, Yellow gold, So Called “Appolo 11”",/en/lots/omega-ref-st-145-022-69-speedmaster-professional-moonwatch-so-called-appolo-11-lot-347-27?page=2,EUR,"30,000","50,000","54,600","18K yellow gold, manual-winding, vertical “tonneau”-shaped, gentleman’s wristwatch, water-resistant with screwed case-back, movement protected inside a soft iron calotte (protective container) against magnetic fields, bezel with brown insert, gold colour dial with radial applied indexes, subsidiary seconds at 9 and three horological complications:• 1/8 second chronograph (activated by the two round-shaped pushpieces located on the case-band), with tachometric scale graduated on the bezel for 500 units per hour• Half-instantaneous 30-minute counter (subsidiary dial at 3 o’clock)• Dragging 12-hour counter (subsidiary dial at 6 o’clock)Case-back stamped in the centre with the Omega logo and the mention “the first watch worn on the moon” and “Omega Speedmaster – Apollo XI 1969”.","Omega, Bienne / Biel",ST 145.022 – 69,1969,"No. 904 (by Charles Dubois & Cie, Le Locle)",,,861 (based on Lemania),"Case, dial and movement",29 171 313,18K yellow gold Omega “Holzer” bracelet with deployant clasp,“Speedmaster Professional” “Moonwatch” so called “Appolo 11”,,48.6 x 42.3 mm. / 39.7 mm. (bezel) / Length 190 mm. (approx.),Omega original fitted box (“lunar crater”),,18K yellow gold,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Omega.  Prototype, Ref. 145.0022/345.022, Speedmaster professional, Moonwatch, Chronograph, Minute and hour counters, Black dial, so-called ""Sea horse"", limited edition especially made for the 150th anniversary of the manufacture N°000 / 150, Gold-plated metal",/en/lots/omega-ref-145-0022-345-022-speedmaster-professional-moonwatch-prototype-limited-edition-especially-made-for-the-150th-anniversary-of-the-manufacture-no-000-150-lot-347-28?page=2,EUR,"100,000","200,000",,"A possibly unique, previously unknown and of the highest rarity, Omega “Speedmater”, “Replica Broad Arrow”, Prototype, with gold-plated test case numbered 000 / 150, made for the 150th anniversary of the Brand in 1998.Gold-plated metal, manual-winding, vertical “tonneau”-shaped, gentleman’s wristwatch, water-resistant with screwed case-back, movement protected inside a soft iron calotte (protective container) against magnetic fields, bezel engraved, black colour dial with radial luminous indexes and, in the centre, a seahorse applied motif, subsidiary seconds at 9 and three horological complications:• 1/6 second chronograph (activated by the two round-shaped push-pieces located on the case-band), with tachometric scale graduated on the bezel for 500 units per hour• Half-instantaneous 30-minute counter (subsidiary dial at 3 o’clock)• Dragging 12-hour counter (subsidiary dial at 6 o’clock)Test case numbered. Case-back stamped in the centre with the Omega logo, a seahorse and the name “Speedmaster”, the mention “The first watch worn on the moon” and “Flight-qualified by nasa for all manned space mission”.","Omega, Bienne / Biel",145.0022/345.022,1998,,,,1861 (based on Lemania 1873),"Case, dial and movement",48 398 309,Black leather Omega strap; gilded stainless- steel Omega deployant clasp,"“Speedmaster Professional” “Moonwatch”; prototype; limited edition especially made for the 150th anniversary of the Manufacture, No. 000 / 150",,8.2 x 42.1 mm. / 39.8 mm. (bezel),,,gold plated metal,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Patek Philippe.  Ref. 3970EP-019, Perpetual calendar chronograph, Platinum",/en/lots/patek-philippe-ref-3970ep-019-perpetual-calendar-chronograph-lot-347-29?page=2,EUR,"150,000","250,000",,"Very fine and important platinum and diamond-set perpetual calendar chronograph wristwatch, water-resistant, manual-winding with round-button chronograph and a Patek Philippe platinum folding clasp. Solid, polished, and concave bezel, fluted lugs, screwed-down transparent caseback, sapphire crystal. Glossy black dial with 10 round and 1 baguette diamond indexes, subsidiary dials for seconds and 24 hours at 9 o'clock, 30-minute register and leap year at 3 o'clock, and days of the month at 6 o'clock. Aperture for the weekday and month at 12 o'clock, and aperture for the crescent moon phase with midnight blue moon disk, outer divisions 1/5 seconds/minutes. White gold baton hands.","Patek Philippe, Geneva",3970EP-019,2002,4126008,36 mm.,"118,5 gr. (approx.)",CH 27-70 Q,"Dial, case and movement",3046265,Leather strap with Patek Philippe Platinum folding clasp,Perpetual Calendar Chronograph,,,"Box, Patek Philippe leather document holder, Certificate of Origin, Leather pouch, setting pin and extra solid case back.",,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Record Watch Co..  Splits-seconds chronograph, Minute and hour counters, Date, Moon phase, Yellow gold",/en/lots/record-watch-co-ref-6036-lot-347-30?page=2,EUR,"15,000","30,000","28,600","18K yellow gold, manual-winding, round-shaped, large gentleman’s wristwatch, snap-on case-back, stepped lugs, two-tone silver dial with subsidiary seconds at 9 and six horological complications:• 1/5 second chronograph (activated by the two rectangular- shaped push-pieces located on the caseband)• Split-seconds (activated by the round-shaped push-piece located on the winding crown)• Half-instantaneous 30-minute counter (subsidiary dial at 3 o’clock)• 12-hour counter (subsidiary dial at 6 o’clock)• Half-instantaneous date of the month (subsidiary dial at 12 o’clock)• Phases of the moon (aperture at 12 o’clock)","Record Watch Co., Geneva",6036,1945,"14 001 (by Stila S.A., La Chaux-de- Fonds)",,,"14’’’, (based on Vénus 185 ebauche by Berret & Schmitz, Moutier, Bernese Jura)","Dial, case and movement",,Black leather strap; gilded metal buckle,,,37.4 mm. / Thickness 14.4 mm.,,,18K yellow gold,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Universal Genève retailed by Hermès.  Ref. 224106, Uni-Compax, Stainless-steel",/en/lots/universal-geneve-ref-224106-uni-compax-lot-347-31?page=2,EUR,"15,000","30,000","26,000",Very fine and rare double signed Universal Genève / Hermès steel manual winding chronograph wristwatch with silver dial and 3 registers.,"Universal Genève, Geneva",224106,1943,1074834,"36,5 mm.","44,39 gr. (approx.)",720 (by Valjoux),"Dial, case and movement",,leather Hermès steel Hermès buckle,"Uni-Compax, retailed by Hermès, Paris",,,,,,,,
"Jan 18, 2022 ",Monaco,Important Modern & Vintage Timepieces,/en/auctions/monaco-2022-01-18/lots,"Rolex.  Ref. 3330, Chronographe, Anti-Magnetique, Pink gold",/en/lots/rolex-ref-3330-anti-magnetique-lot-347-32?page=2,EUR,"8,000","14,000","27,300","Fine, antimagnetic pink gold wristwatch, with square button chronograph and registers. Snap-on case back engraved with the Rolex crown. Black dial with gold dots indexes and one applied Arabic number at 12. Three sub-dials for the seconds, the 12 hours, and 30 minutes registers, outer pulsometer scale.","Rolex, Geneva",3330,1934,50524,36 mm.,"54,1 gr. (approx.)",,"Dial, case and movement",,"Leather strap, Rolex pink gold Rolex buckle",Anti-magnetique,,,,,,,,
